pmid,title,abstract,file_path,label,cleaned_abstract,extracted_diseases,encoded_label
36929451,Integration of clinical and spatial data to explore lipid metabolism-related genes for predicting prognosis and immune microenvironment in gliomas.,"Lipid metabolism is crucial to tumor growth and immune microenvironment as well as drug sensitivity in glioma. Identifying prognostic indicators of glioma and elucidating the mechanisms of glioma progression are critical for improving the prognosis of glioma patients. In this study, we investigated the role and prognostic value of metabolism-related genes in glioma by integrative analysis of datasets from GEO, CGGA, and TCGA. Based on clinical data and transcriptome data, we found that the expression pattern of three major pathways related to lipid metabolism is fatty acid<sup>high</sup>-phospholipid<sup>high</sup>-triglyceride<sup>low</sup>, which is associated with better prognosis and immune infiltration. The genes involved in these three pathways were used to generate a prognostic model, which showed high stability and efficiency in the test set and validation set. The spatial transcriptome of glioma patients revealed that the microenvironment of the regions with high expression of risk genes CAV1 and SCD is in a state of hypoxia, EMT, and cell cycle arrest, and thus can be used as markers of metabolic reprogramming in the tumor microenvironment. In the high-risk group, M0 macrophages and M1 macrophages were significantly enriched, and the risk score was significantly correlated with gene mutation and methylation of risk genes. We further performed drug sensitivity screening corresponding to different risk genes. This study provided novel insights into the differential immune microenvironment with different expression patterns of metablism-related genes and highlighted the spatial and temporal synergy of tumor progression and metabolic reprogramming.",Dataset__1_\Dataset\Cancer\36929451.txt,1,"Lipid metabolism is crucial to tumor growth and immune microenvironment as well as drug sensitivity in glioma. Identifying prognostic indicators of glioma and elucidating the mechanisms of glioma progression are critical for improving the prognosis of glioma patients. In this study, we investigated the role and prognostic value of metabolism-related genes in glioma by integrative analysis of datasets from GEO, CGGA, and TCGA. Based on clinical data and transcriptome data, we found that the expression pattern of three major pathways related to lipid metabolism is fatty acidhigh-phospholipidhigh-triglyceridelow, which is associated with better prognosis and immune infiltration. The genes involved in these three pathways were used to generate a prognostic model, which showed high stability and efficiency in the test set and validation set. The spatial transcriptome of glioma patients revealed that the microenvironment of the regions with high expression of risk genes CAV1 and SCD is in a state of hypoxia, EMT, and cell cycle arrest, and thus can be used as markers of metabolic reprogramming in the tumor microenvironment. In the high-risk group, M0 macrophages and M1 macrophages were significantly enriched, and the risk score was significantly correlated with gene mutation and methylation of risk genes. We further performed drug sensitivity screening corresponding to different risk genes. This study provided novel insights into the differential immune microenvironment with different expression patterns of metablism-related genes and highlighted the spatial and temporal synergy of tumor progression and metabolic reprogramming.",['tumor'],1
24262698,Mastocytosis.,"Mastocytosis is a disorder of abnormal mast cell proliferation, with clinical features that include flushing, pruritus, abdominal pain, diarrhea, hypotension, syncope, and musculoskeletal pain. These features are the result of mast cell mediator release and infiltration into target organs. Patients of all ages may be affected, although in children, manifestations primarily involve the skin. Most patients with systemic disease have a somatically acquired activating mutation in the KIT oncogene. This article discusses the causes and pathogenesis of mastocytosis, with an overview of the clinical features and the approach to diagnosis, evaluation, and therapy in adults and pediatric patients.",Dataset__1_\Dataset\Non-Cancer\24262698.txt,0,"Mastocytosis is a disorder of abnormal mast cell proliferation, with clinical features that include flushing, pruritus, abdominal pain, diarrhea, hypotension, syncope, and musculoskeletal pain. These features are the result of mast cell mediator release and infiltration into target organs. Patients of all ages may be affected, although in children, manifestations primarily involve the skin. Most patients with systemic disease have a somatically acquired activating mutation in the KIT oncogene. This article discusses the causes and pathogenesis of mastocytosis, with an overview of the clinical features and the approach to diagnosis, evaluation, and therapy in adults and pediatric patients.",[],0
35608106,Targeting <i>FGFR3</i> alterations with adjuvant infigratinib in invasive urothelial carcinoma: the phase III PROOF 302 trial.,"PROOF 302 is an ongoing randomized, double-blind, placebo-controlled, adjuvant phase III trial (NCT04197986) in approximately 218 patients from 120 centers worldwide. Eligibility criteria include post-surgical high-risk muscle-invasive upper tract urothelial cancer (85% of patients) or urothelial bladder cancer (15%), susceptible <i>FGFR3</i> alterations (activating mutations, gene fusions or rearrangements), ≤120 days following radical surgery and ineligible for/or refusing cisplatin-based (neo)adjuvant chemotherapy. Patients receive either oral infigratinib 125 mg or placebo daily on days 1-21 of a 28-day cycle for up to 52 weeks or until recurrence, unacceptable toxicity or death. Primary end point: centrally determined disease-free survival (DFS); secondary end points: investigator-assessed DFS, metastasis-free survival, overall survival and safety/tolerability; exploratory end points: correlative biomarker analysis, quality-of-life and infigratinib pharmacokinetics.",Dataset__1_\Dataset\Cancer\35608106.txt,1,"PROOF 302 is an ongoing randomized, double-blind, placebo-controlled, adjuvant phase III trial (NCT04197986) in approximately 218 patients from 120 centers worldwide. Eligibility criteria include post-surgical high-risk muscle-invasive upper tract urothelial cancer (85 of patients) or urothelial bladder cancer (15), susceptible FGFR3 alterations (activating mutations, gene fusions or rearrangements), 120 days following radical surgery and ineligible foror refusing cisplatin-based (neo)adjuvant chemotherapy. Patients receive either oral infigratinib 125 mg or placebo daily on days 1-21 of a 28-day cycle for up to 52 weeks or until recurrence, unacceptable toxicity or death. Primary end point: centrally determined disease-free survival (DFS); secondary end points: investigator-assessed DFS, metastasis-free survival, overall survival and safetytolerability; exploratory end points: correlative biomarker analysis, quality-of-life and infigratinib pharmacokinetics.",['cancer'],1
30513309,Circular RNA involvement in aging: An emerging player with great potential.,"Circular RNA (circRNA) is a class of newly discovered noncoding RNA (ncRNA), presenting as a special covalent loop without a 5' cap or 3' tail. Multiple biological properties of circRNA have been revealed during the past decades, such as widespread expression, high conservation, cell-specificity, tissue-specificity and developmental stage-specific expression patterns, as well as resistance to RNase R digestion. CircRNA also exhibits diverse biological functions, including regulation of host genes, alternative splicing, miRNA sponges, protein traps and even protein synthesis. Recently, a global accumulation of circRNAs during aging has been identified across different species, indicating a potential role as a causal factor in aging and age-related disease. The high stability could be one of the mechanisms contributing to this phenomenon. CircRNA could play a role in aging, such as neural aging, muscle aging, reproductive aging, skin aging, immunosenescence, visual aging and age-related diseases like Alzheimer's disease, via interaction with miRNAs, RNA binding proteins, modulation of parental gene transcription, mainly at the transcriptional and posttranscriptional levels. The present study will focus on the advancement of circRNA regarding aging and age-related diseases. We will also discuss the biogenesis, properties, biological functions, and the perspectives of circRNA.",Dataset__1_\Dataset\Non-Cancer\30513309.txt,0,"Circular RNA (circRNA) is a class of newly discovered noncoding RNA (ncRNA), presenting as a special covalent loop without a 5 cap or 3 tail. Multiple biological properties of circRNA have been revealed during the past decades, such as widespread expression, high conservation, cell-specificity, tissue-specificity and developmental stage-specific expression patterns, as well as resistance to RNase R digestion. CircRNA also exhibits diverse biological functions, including regulation of host genes, alternative splicing, miRNA sponges, protein traps and even protein synthesis. Recently, a global accumulation of circRNAs during aging has been identified across different species, indicating a potential role as a causal factor in aging and age-related disease. The high stability could be one of the mechanisms contributing to this phenomenon. CircRNA could play a role in aging, such as neural aging, muscle aging, reproductive aging, skin aging, immunosenescence, visual aging and age-related diseases like Alzheimers disease, via interaction with miRNAs, RNA binding proteins, modulation of parental gene transcription, mainly at the transcriptional and posttranscriptional levels. The present study will focus on the advancement of circRNA regarding aging and age-related diseases. We will also discuss the biogenesis, properties, biological functions, and the perspectives of circRNA.",[],0
31177124,Paraoxonase 1 (PON1) Q192R and L55M Polymorphisms as Potential Predisposition Factors for Chronic Lymphocytic Leukemia.,"BACKGROUND/AIM: PON1 gene has an executive role in antioxidant defense, protecting cells from genotoxic factors. Q192R and L55M PON1 polymorphisms reduce catalytic activity of the encoded protein. These polymorphisms were studied in 300 chronic lymphocytic leukemia (CLL) patients and 106 healthy donors. They were also associated with patients' cytogenetic findings, to investigate their possible implication in CLL pathogenesis. MATERIALS AND METHODS: SNP genotyping was performed using polymerase chain reaction-restriction fragment length polymorphism (PCR-RFLP) assay. Karyotypic analysis was also performed by chromosome G-banding analysis and fluorescence in situ hybridization. RESULTS: Genotypic and allelic distribution of Q192R polymorphism showed a statistically significant higher frequency of mutant genotypes and mutant alleles in patients compared to controls. The same observation was noted in patients with abnormal karyotypes and those carrying abn14q32 and del(6q). A statistically increased frequency for the mutant allele was also revealed in patients with del(11q). On the contrary, L55M polymorphism showed a similar distribution between patients and controls. CONCLUSION: Q192R polymorphism plays a role in CLL predisposition and the formation of specific chromosomal aberrations.",Dataset__1_\Dataset\Cancer\31177124.txt,1,"BACKGROUNDAIM: PON1 gene has an executive role in antioxidant defense, protecting cells from genotoxic factors. Q192R and L55M PON1 polymorphisms reduce catalytic activity of the encoded protein. These polymorphisms were studied in 300 chronic lymphocytic leukemia (CLL) patients and 106 healthy donors. They were also associated with patients cytogenetic findings, to investigate their possible implication in CLL pathogenesis. MATERIALS AND METHODS: SNP genotyping was performed using polymerase chain reaction-restriction fragment length polymorphism (PCR-RFLP) assay. Karyotypic analysis was also performed by chromosome G-banding analysis and fluorescence in situ hybridization. RESULTS: Genotypic and allelic distribution of Q192R polymorphism showed a statistically significant higher frequency of mutant genotypes and mutant alleles in patients compared to controls. The same observation was noted in patients with abnormal karyotypes and those carrying abn14q32 and del(6q). A statistically increased frequency for the mutant allele was also revealed in patients with del(11q). On the contrary, L55M polymorphism showed a similar distribution between patients and controls. CONCLUSION: Q192R polymorphism plays a role in CLL predisposition and the formation of specific chromosomal aberrations.",['leukemia'],1
31217437,Adenoviral vaccine targeting multiple neoantigens as strategy to eradicate large tumors combined with checkpoint blockade.,"Neoantigens (nAgs) are promising tumor antigens for cancer vaccination with the potential of inducing robust and selective T cell responses. Genetic vaccines based on Adenoviruses derived from non-human Great Apes (GAd) elicit strong and effective T cell-mediated immunity in humans. Here, we investigate for the first time the potency and efficacy of a novel GAd encoding multiple neoantigens. Prophylactic or early therapeutic vaccination with GAd efficiently control tumor growth in mice. In contrast, combination of the vaccine with checkpoint inhibitors is required to eradicate large tumors. Gene expression profile of tumors in regression shows abundance of activated tumor infiltrating T cells with a more diversified TCR repertoire in animals treated with GAd and anti-PD1 compared to anti-PD1. Data suggest that effectiveness of vaccination in the presence of high tumor burden correlates with the breadth of nAgs-specific T cells and requires concomitant reversal of tumor suppression by checkpoint blockade.",Dataset__1_\Dataset\Cancer\31217437.txt,1,"Neoantigens (nAgs) are promising tumor antigens for cancer vaccination with the potential of inducing robust and selective T cell responses. Genetic vaccines based on Adenoviruses derived from non-human Great Apes (GAd) elicit strong and effective T cell-mediated immunity in humans. Here, we investigate for the first time the potency and efficacy of a novel GAd encoding multiple neoantigens. Prophylactic or early therapeutic vaccination with GAd efficiently control tumor growth in mice. In contrast, combination of the vaccine with checkpoint inhibitors is required to eradicate large tumors. Gene expression profile of tumors in regression shows abundance of activated tumor infiltrating T cells with a more diversified TCR repertoire in animals treated with GAd and anti-PD1 compared to anti-PD1. Data suggest that effectiveness of vaccination in the presence of high tumor burden correlates with the breadth of nAgs-specific T cells and requires concomitant reversal of tumor suppression by checkpoint blockade.","['tumor', 'cancer']",1
31492174,The first report of molecular characterized BRD4-NUT carcinoma in Brazil: a case report.,"BACKGROUND: NUT midline carcinoma is a rare and aggressive subset of squamous cell carcinoma, which is characterized by the translocation of nuclear protein in testis gene that is mostly fused with bromodomain and extraterminal family proteins. We describe here the first Brazilian case of NUT midline carcinoma with BRD4-NUT fusion detected in a next-generation sequencing panel and we present the clinical evolution of this patient. CASE PRESENTATION: A 42-year-old Caucasian man was diagnosed with poorly differentiated squamous cell carcinoma of the left maxillary sinus, with negative in situ hybridization for Epstein-Barr encoding region and human papillomavirus genotyping. He received induction therapy, chemoradiotherapy with weekly systemic chemotherapy, and, concurrently, weekly intra-arterial chemotherapy. New imaging evaluation, 1 month after the end of the last treatment, revealed a good partial response in the primary lesion. However, positron emission tomography-computed tomography showed multiple suspicious lesions in his bones and lungs, which were histologically confirmed. He died exactly 2 months after metastatic disease was diagnosed. CONCLUSIONS: NUT midline carcinoma is usually very aggressive. Currently, there is no standard of care for treatment of NUT midline carcinoma. The definitive diagnosis must be by demonstration of NUTM1 rearrangement. Immunohistochemical staining of greater than 50% of tumor nuclei on formalin-fixed paraffin-embedded tissue using the monoclonal rabbit antibody to NUT (clone C52B1), has a specificity of 100%, and sensitivity of 87% for the diagnosis of NUT midline carcinoma. Our case is the first Brazilian case of NUT midline carcinoma with BRD4-NUT fusion.",Dataset__1_\Dataset\Cancer\31492174.txt,1,"BACKGROUND: NUT midline carcinoma is a rare and aggressive subset of squamous cell carcinoma, which is characterized by the translocation of nuclear protein in testis gene that is mostly fused with bromodomain and extraterminal family proteins. We describe here the first Brazilian case of NUT midline carcinoma with BRD4-NUT fusion detected in a next-generation sequencing panel and we present the clinical evolution of this patient. CASE PRESENTATION: A 42-year-old Caucasian man was diagnosed with poorly differentiated squamous cell carcinoma of the left maxillary sinus, with negative in situ hybridization for Epstein-Barr encoding region and human papillomavirus genotyping. He received induction therapy, chemoradiotherapy with weekly systemic chemotherapy, and, concurrently, weekly intra-arterial chemotherapy. New imaging evaluation, 1 month after the end of the last treatment, revealed a good partial response in the primary lesion. However, positron emission tomography-computed tomography showed multiple suspicious lesions in his bones and lungs, which were histologically confirmed. He died exactly 2 months after metastatic disease was diagnosed. CONCLUSIONS: NUT midline carcinoma is usually very aggressive. Currently, there is no standard of care for treatment of NUT midline carcinoma. The definitive diagnosis must be by demonstration of NUTM1 rearrangement. Immunohistochemical staining of greater than 50 of tumor nuclei on formalin-fixed paraffin-embedded tissue using the monoclonal rabbit antibody to NUT (clone C52B1), has a specificity of 100, and sensitivity of 87 for the diagnosis of NUT midline carcinoma. Our case is the first Brazilian case of NUT midline carcinoma with BRD4-NUT fusion.","['tumor', 'carcinoma']",1
30955263,[Dedifferentiated liposarcoma with inflammatory myofibroblastic tumor-like features: a clinicopathological analysis of five cases].,"Objective: To investigate the clinicopathological features, diagnosis and differential diagnosis of dedifferentiated liposarcoma (DDLPS) with inflammatory myofibroblastic tumor (IMT)-like features. Methods: Five cases of DDLPS with IMT-like features were collected from the First Affiliated Hospital of Nanjing Medical University, the Affiliated Hospital of Nanjing University of Traditional Chinese Medicine and the First People's Hospital of Qinzhou between 2013 and 2018. EnVision method and fluorescence in situ hybridization (FISH) were used to detect the immunophenotype of the tumor cells and the profile of MDM2 gene amplification respectively. Results: All five cases were male and the median age was 61 (range 53 to 65) years. The clinical symptoms were mainly related to the space-occupying lesions. The tumors were located in duodenal mesentery (two cases), intestinal wall (one case), retroperitoneum (one case), and spermatic cord (one case). Grossly, the tumors were not well encapsulated, ranging from 3 to 13 cm (median 6.7 cm) in diameter, with tan to gray and firm cut surface. Histologically, the dedifferentiated component closely resembled inflammatory myofibroblastic tumor (IMT), with spindle/polygonal/stellate-shaped cells arranged in storiform, sheet-like, or random pattern, with varying degrees of chronic inflammation and fibrosis. All three major patterns seen in IMT (myxoid, cellular and hypocellular fibrous) were observed, the hypocellular fibrous pattern was the most common. Well-differentiated liposarcomatous component was found in the peripheral areas of all the tumors. One case had high grade dedifferentiated component. Four cases were strongly positive for MDM2 and p16. Two cases were positive for SMA, and one case was focally positive for desmin and one for CD34. None of the cases stained for ALK-1. FISH demonstrated MDM2 gene amplification in all five cases. Clinical follow-ups were available in all five cases and the interval ranged from 3 to 66 months (median 23 months). Two patients developed recurrences and one patient had metastasis. The remaining two patients were alive with no evidence of tumor recurrence at 3 and 14 months after surgery respectively. Conclusions: DDLPS with IMT-like features is a more aggressive neoplasm than its histological mimic (IMT), and should not be misdiagnosed as other intermediate or low-grade malignant tumors, such as IMT, sclerosing liposarcoma, inflammatory liposarcoma, aggressive fibromatosis, solitary fibrous tumors, low-grade myofibroblastic sarcoma, and low-grade fibrosarcoma.",Dataset__1_\Dataset\Cancer\30955263.txt,1,"Objective: To investigate the clinicopathological features, diagnosis and differential diagnosis of dedifferentiated liposarcoma (DDLPS) with inflammatory myofibroblastic tumor (IMT)-like features. Methods: Five cases of DDLPS with IMT-like features were collected from the First Affiliated Hospital of Nanjing Medical University, the Affiliated Hospital of Nanjing University of Traditional Chinese Medicine and the First Peoples Hospital of Qinzhou between 2013 and 2018. EnVision method and fluorescence in situ hybridization (FISH) were used to detect the immunophenotype of the tumor cells and the profile of MDM2 gene amplification respectively. Results: All five cases were male and the median age was 61 (range 53 to 65) years. The clinical symptoms were mainly related to the space-occupying lesions. The tumors were located in duodenal mesentery (two cases), intestinal wall (one case), retroperitoneum (one case), and spermatic cord (one case). Grossly, the tumors were not well encapsulated, ranging from 3 to 13 cm (median 6.7 cm) in diameter, with tan to gray and firm cut surface. Histologically, the dedifferentiated component closely resembled inflammatory myofibroblastic tumor (IMT), with spindlepolygonalstellate-shaped cells arranged in storiform, sheet-like, or random pattern, with varying degrees of chronic inflammation and fibrosis. All three major patterns seen in IMT (myxoid, cellular and hypocellular fibrous) were observed, the hypocellular fibrous pattern was the most common. Well-differentiated liposarcomatous component was found in the peripheral areas of all the tumors. One case had high grade dedifferentiated component. Four cases were strongly positive for MDM2 and p16. Two cases were positive for SMA, and one case was focally positive for desmin and one for CD34. None of the cases stained for ALK-1. FISH demonstrated MDM2 gene amplification in all five cases. Clinical follow-ups were available in all five cases and the interval ranged from 3 to 66 months (median 23 months). Two patients developed recurrences and one patient had metastasis. The remaining two patients were alive with no evidence of tumor recurrence at 3 and 14 months after surgery respectively. Conclusions: DDLPS with IMT-like features is a more aggressive neoplasm than its histological mimic (IMT), and should not be misdiagnosed as other intermediate or low-grade malignant tumors, such as IMT, sclerosing liposarcoma, inflammatory liposarcoma, aggressive fibromatosis, solitary fibrous tumors, low-grade myofibroblastic sarcoma, and low-grade fibrosarcoma.","['tumor', 'sarcoma', 'neoplasm']",1
31330366,Molecular pathogenesis of gallbladder cancer: An update.,"Gallbladder carcinoma (GBC) is the most aggressive gastrointestinal malignancy throughout the world, with wide geographical variance. It is the subtype of biliary tract malignancy that has the poorest prognosis and lower survival among all biliary tract malignancies. Various factors are associated with GBC pathogenesis such as environmental, microbial, metabolic and molecular. Chronic inflammation of gallbladder due to presence of gallstone or microbial infection (eg. Salmonella or H. pylori) results in sustained production of inflammatory mediators in the tissue microenvironment, which can cause genomic changes linked to carcinogenesis. Genetic alterations are one of the major factors, associated with aggressiveness and prognosis. Researches have been done to explore suitable biomarker for early diagnosis and identify altered molecular pathways to develop appropriate biomarkers for early diagnosis, therapy and predicting prognosis. Different agents for targeted therapy against actionable mutations of molecules like EGFR, VEGF, mTOR, HER2, PDL-1, PD-1, MET, PI3K, N-cadherin, VEGFR, MEK1 and MEK2 are being tried. Despite these advancements, there is dismal improvement in the survival of GBC patients. Genetic aberrations other than actionable mutations and epigenetic modification including aberrant expressions of micro-RNAs, are also being studied both as diagnostic biomarker and therapeutic targets. Complex pathogenesis of GBC still needs to be unfolded. In this review we focus on the molecular pathogenesis of GBC elucidated till date along with future directions that can be explored to achieve better management of GBC patients.",Dataset__1_\Dataset\Cancer\31330366.txt,1,"Gallbladder carcinoma (GBC) is the most aggressive gastrointestinal malignancy throughout the world, with wide geographical variance. It is the subtype of biliary tract malignancy that has the poorest prognosis and lower survival among all biliary tract malignancies. Various factors are associated with GBC pathogenesis such as environmental, microbial, metabolic and molecular. Chronic inflammation of gallbladder due to presence of gallstone or microbial infection (eg. Salmonella or H. pylori) results in sustained production of inflammatory mediators in the tissue microenvironment, which can cause genomic changes linked to carcinogenesis. Genetic alterations are one of the major factors, associated with aggressiveness and prognosis. Researches have been done to explore suitable biomarker for early diagnosis and identify altered molecular pathways to develop appropriate biomarkers for early diagnosis, therapy and predicting prognosis. Different agents for targeted therapy against actionable mutations of molecules like EGFR, VEGF, mTOR, HER2, PDL-1, PD-1, MET, PI3K, N-cadherin, VEGFR, MEK1 and MEK2 are being tried. Despite these advancements, there is dismal improvement in the survival of GBC patients. Genetic aberrations other than actionable mutations and epigenetic modification including aberrant expressions of micro-RNAs, are also being studied both as diagnostic biomarker and therapeutic targets. Complex pathogenesis of GBC still needs to be unfolded. In this review we focus on the molecular pathogenesis of GBC elucidated till date along with future directions that can be explored to achieve better management of GBC patients.","['malignancy', 'carcinoma']",1
31631483,A first Japanese case of neuroendocrine prostate cancer accompanied by lung and brain metastasis with somatic and germline BRCA2 mutation.,"Germline mutations and copy number changes in DNA damage repair (DDR) genes such as BRCA2 are associated with aggressive forms of prostate cancer (PCa). Although the prevalence of BRCA2 variants in PCa is increasing in Japan, the genomic and biological implications in Japanese patients are unclear. An 81-year-old male presented with prostatic adenocarcinoma with neuroendocrine differentiation accompanied by metastatic lung nodule and brain metastases. Platinum-based doublet chemotherapy combined with etoposide resulted in partial and complete remissions of brain and lung metastases, respectively. Next-generation sequencing of biopsy and peripheral blood samples demonstrated a somatic BRCA2 mutation at c.7008-2A>C and a germline mutation at p.E2877*. The patient's son had been diagnosed with breast cancer 2.5 years ago and was found to have the same germline BRCA2 mutation. BRCA2 mutation increases the risks of aggressive PCa and other cancer types in Japanese males. These forms may be highly responsive to platinum-based chemotherapy.",Dataset__1_\Dataset\Cancer\31631483.txt,1,"Germline mutations and copy number changes in DNA damage repair (DDR) genes such as BRCA2 are associated with aggressive forms of prostate cancer (PCa). Although the prevalence of BRCA2 variants in PCa is increasing in Japan, the genomic and biological implications in Japanese patients are unclear. An 81-year-old male presented with prostatic adenocarcinoma with neuroendocrine differentiation accompanied by metastatic lung nodule and brain metastases. Platinum-based doublet chemotherapy combined with etoposide resulted in partial and complete remissions of brain and lung metastases, respectively. Next-generation sequencing of biopsy and peripheral blood samples demonstrated a somatic BRCA2 mutation at c.7008-2AC and a germline mutation at p.E2877. The patients son had been diagnosed with breast cancer 2.5 years ago and was found to have the same germline BRCA2 mutation. BRCA2 mutation increases the risks of aggressive PCa and other cancer types in Japanese males. These forms may be highly responsive to platinum-based chemotherapy.","['breast cancer', 'cancer', 'prostate cancer']",1
